mktime,interests,profit,value,daily_value,all_profit,close_profit,prosition_profit,settle_available_cash,position_cost,fee,retrace,value_chg,log_chg,last_profit,max_profit
20161221,524205.78,-58.07,1.31,1.0,124205.78,-242.61,461.81,399480.12,72840.95,277.27,-0.79,-0.0001,0.0001,124263.86,128367.96
20161222,524889.18,683.4,1.31,1.0,124889.18,1943.86,-964.48,401647.88,66237.14,295.98,-0.66,0.0013,-0.0013,124205.78,128367.96
20161223,522152.89,-2736.28,1.31,0.99,122152.89,-1707.41,-792.02,398055.74,42055.77,236.85,-1.18,-0.0052,0.0052,124889.18,128367.96
20161226,521287.28,-865.62,1.3,1.0,121287.28,-739.55,89.39,399044.99,59473.32,215.46,-1.34,-0.0017,0.0017,122152.89,128367.96
20161227,525015.32,3728.05,1.31,1.01,125015.32,3846.69,61.09,403666.96,36629.57,179.73,-0.63,0.0072,-0.0072,121287.28,128367.96
20161228,524857.42,-157.91,1.31,1.0,124857.42,-144.57,116.24,399725.86,35623.25,129.57,-0.66,-0.0003,0.0003,125015.32,128367.96
20161229,523592.14,-1265.27,1.31,1.0,123592.14,-542.78,-504.9,399239.63,70657.36,217.59,-0.9,-0.0024,0.0024,124857.42,128367.96
20161230,525844.33,2252.19,1.31,1.0,125844.33,2867.72,-359.16,402611.35,65711.1,256.37,-0.48,0.0043,-0.0043,123592.14,128367.96
20170103,527315.02,1470.69,1.32,1.0,127315.02,954.93,689.2,400781.49,69356.61,173.44,-0.2,0.0028,-0.0028,125844.33,128367.96
20170104,528308.81,993.79,1.32,1.0,128308.81,1239.78,-18.31,401012.1,109977.89,227.68,-0.01,0.0019,-0.0019,127315.02,128367.96
20170105,529904.68,1595.87,1.32,1.0,129904.68,2142.48,-266.33,401862.2,67080.53,280.28,0.29,0.003,-0.003,128308.81,128367.96
20170106,528136.58,-1768.1,1.32,1.0,128136.58,-529.8,-966.45,399198.35,52954.23,271.85,-0.33,-0.0033,0.0033,129904.68,129904.68
20170109,528906.92,770.33,1.32,1.0,128906.92,522.86,512.73,400257.61,78950.76,265.25,-0.19,0.0015,-0.0015,128136.58,129904.68
20170110,533084.17,4177.25,1.33,1.01,133084.17,4438.06,-9.59,404186.84,55403.27,251.22,0.6,0.0079,-0.0079,128906.92,129904.68
20170111,532178.82,-905.35,1.33,1.0,132178.82,-164.12,-509.21,399603.86,42605.48,232.02,-0.17,-0.0017,0.0017,133084.17,133084.17
20170112,531940.04,-238.78,1.33,1.0,131940.04,833.55,-842.52,400603.74,57781.72,229.81,-0.21,-0.0004,0.0004,132178.82,133084.17
20170113,530864.59,-1075.44,1.33,1.0,130864.59,177.91,-1009.19,399933.74,33123.4,244.17,-0.42,-0.002,0.002,131940.04,133084.17
20170116,528597.02,-2267.57,1.32,1.0,128597.02,-1619.89,-420.77,398153.2,53840.51,226.91,-0.84,-0.0043,0.0043,130864.59,133084.17
20170117,530888.74,2291.72,1.33,1.0,130888.74,1343.66,1220.82,401070.9,56836.11,272.76,-0.41,0.0043,-0.0043,128597.02,133084.17
20170118,532784.39,1895.65,1.33,1.0,132784.39,2414.73,-250.33,402145.98,97057.54,268.75,-0.06,0.0036,-0.0036,130888.74,133084.17
20170119,530880.57,-1903.82,1.33,1.0,130880.57,-1246.05,-275.54,398371.71,28211.06,382.24,-0.41,-0.0036,0.0036,132784.39,133084.17
20170120,531010.85,130.28,1.33,1.0,131010.85,76.56,214.69,399915.6,72652.81,160.96,-0.39,0.0002,-0.0002,130880.57,133084.17
20170123,533403.62,2392.76,1.33,1.0,133403.62,2281.93,356.14,402036.62,87655.22,245.31,0.06,0.0045,-0.0045,131010.85,133084.17
20170124,533399.36,-4.25,1.33,1.0,133399.36,196.77,49.01,399946.73,62166.5,250.04,-0.0,-0.0,0.0,133403.62,133403.62
20170125,534606.01,1206.65,1.34,1.0,134606.01,781.97,654.36,400552.28,61342.52,229.69,0.23,0.0023,-0.0023,133399.36,133403.62
20170126,536937.01,2331.0,1.34,1.0,136937.01,2353.99,231.68,402099.32,58302.85,254.67,0.44,0.0044,-0.0044,134606.01,134606.01
20170203,538450.77,1513.77,1.35,1.0,138450.77,1623.66,69.37,401444.4,65364.11,179.26,0.28,0.0028,-0.0028,136937.01,136937.01
20170206,540775.58,2324.8,1.35,1.0,140775.58,1073.81,1466.3,400858.5,99498.51,215.31,0.43,0.0043,-0.0043,138450.77,138450.77
20170207,544962.0,4186.42,1.36,1.01,144962.0,3394.48,981.75,403204.67,72028.52,189.81,0.77,0.0077,-0.0078,140775.58,140775.58
20170208,547406.12,2444.12,1.37,1.0,147406.12,1881.8,771.18,401672.94,63219.38,208.86,0.45,0.0045,-0.0045,144962.0,144962.0
20170209,548287.35,881.23,1.37,1.0,148287.35,663.77,384.93,400496.3,117585.53,167.47,0.16,0.0016,-0.0016,147406.12,147406.12
20170210,548852.32,564.97,1.37,1.0,148852.32,1552.01,-639.01,401203.98,82866.76,348.03,0.1,0.001,-0.001,148287.35,148287.35
20170213,549994.94,1142.62,1.37,1.0,149994.94,819.27,533.83,400608.79,65229.91,210.48,0.21,0.0021,-0.0021,148852.32,148852.32
20170214,550917.6,922.66,1.38,1.0,150917.6,499.13,592.63,400330.04,92982.9,169.09,0.17,0.0017,-0.0017,149994.94,149994.94
20170215,554392.13,3474.52,1.39,1.01,154392.13,3972.76,-251.72,403726.25,73790.54,246.51,0.63,0.0063,-0.0063,150917.6,150917.6
20170216,555532.66,1140.53,1.39,1.0,155532.66,1266.12,126.65,401013.88,91928.48,252.24,0.21,0.0021,-0.0021,154392.13,154392.13
20170217,557613.32,2080.66,1.39,1.0,157613.32,2853.09,-474.24,402554.9,55230.8,298.19,0.37,0.0037,-0.0038,155532.66,155532.66
20170220,556461.22,-1152.11,1.39,1.0,156461.22,-583.07,-273.56,399121.45,90738.17,295.48,-0.21,-0.0021,0.0021,157613.32,157613.32
20170221,559224.66,2763.44,1.4,1.0,159224.66,2758.78,346.89,402416.55,64116.18,342.23,0.29,0.005,-0.005,156461.22,157613.32
20170222,560276.58,1051.92,1.4,1.0,160276.58,1400.79,-124.12,401176.05,48896.65,224.74,0.19,0.0019,-0.0019,159224.66,159224.66
20170223,560780.46,503.88,1.4,1.0,160780.46,280.53,458.6,400045.29,116804.86,235.24,0.09,0.0009,-0.0009,160276.58,160276.58
20170224,565875.54,5095.07,1.41,1.01,165875.54,4918.78,513.93,404581.14,120127.87,337.64,0.91,0.0091,-0.0091,160780.46,160780.46
20170227,565387.44,-488.09,1.41,1.0,165387.44,55.29,-257.43,399769.34,81102.57,285.95,-0.09,-0.0009,0.0009,165875.54,165875.54
20170228,566583.08,1195.64,1.42,1.0,166583.08,922.9,475.21,400720.42,60994.07,202.48,0.13,0.0021,-0.0021,165387.44,165875.54
20170301,566937.46,354.39,1.42,1.0,166937.46,1496.83,-915.96,401270.35,77649.39,226.48,0.06,0.0006,-0.0006,166583.08,166583.08
20170302,567250.27,312.8,1.42,1.0,167250.27,565.34,4.45,400308.35,55173.71,256.99,0.06,0.0006,-0.0006,166937.46,166937.46
20170303,566302.91,-947.36,1.42,1.0,166302.91,-661.12,-105.89,399158.53,67975.58,180.35,-0.17,-0.0017,0.0017,167250.27,167250.27
20170306,568884.7,2581.8,1.42,1.0,168884.7,1242.24,1521.78,401060.02,85255.01,182.22,0.29,0.0046,-0.0046,166302.91,167250.27
20170307,571126.16,2241.45,1.43,1.0,171126.16,2275.87,184.02,402057.43,69613.51,218.44,0.39,0.0039,-0.0039,168884.7,168884.7
20170308,572021.98,895.82,1.43,1.0,172021.98,735.42,395.27,400500.56,91062.91,234.86,0.16,0.0016,-0.0016,171126.16,171126.16
20170309,574589.59,2567.61,1.44,1.0,174589.59,1972.72,881.45,401686.16,77672.38,286.56,0.45,0.0045,-0.0045,172021.98,172021.98
20170310,574785.83,196.24,1.44,1.0,174785.83,722.34,-218.73,400414.98,111839.17,307.36,0.03,0.0003,-0.0003,174589.59,174589.59
20170313,576329.21,1543.38,1.44,1.0,176329.21,2015.9,-83.36,401626.74,107969.96,389.16,0.27,0.0027,-0.0027,174785.83,174785.83
